5,425863
6,426895
7,415267
8,426895
9,426895
10,415267
11,425863
12,415267
13,422923
14,426895
15,321564
16,426895
17,422923
18,415267
19,422923
20,415267
21,425863
22,422923
23,422923
24,422923
25,425863
26,321564
27,426895
28,426895
29,426895
30,426895
31,422923
32,415267
33,415267
34,426895
35,425863
36,321564
37,422923
38,422923
39,426895
40,422923
41,426895
42,425863
43,321564
44,321564
45,415267
46,415267
47,425863
48,422923
49,415267
50,425863
51,415267
52,422923
53,422923
54,415267
55,425863
56,415267
57,422923
58,422923
59,422923
60,425863
61,321564
62,426895
63,321564
64,426895
65,321564
66,425863
67,426895
68,422923
69,422923
70,425863
71,422923
72,422923
73,425863
74,321564
75,425863
76,425863
77,426895
78,422923
79,415267
80,415267
81,425863
82,422923
83,321564
84,422923
85,422923
86,321564
87,426895
88,426895
89,426895
90,422923
91,321564
92,425863
93,321564
94,425863
95,321564
96,425863
97,422923
98,425863
99,425863
100,422923
101,425863
102,415267
103,426895
104,422923
